,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
24,,"28,60","69,28","Jardim da Barragem / Mansões Olinda / Mansões Pôr do Sol / Mansões Centroeste (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,467","0,558","0,738","0,247","6,52","257,56"
25,,"25,20","70,80","Jardim Santa Lúcia / Mansões Chácara Santa Lúcia / Jardim Águas Lindas / Recreio das Águas Lindas / Recreio das Águas Lindas 2 / Quinta das Águas Lindas / Quintas Vale Verde / Parque das Águas Bonitas (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,498","0,578","0,763","0,280","7,50","292,51"
26,,"28,60","69,28","Padre Lucio / Colonial Parque / Jardim do Entorno / Condomínio Embaixador / Cidade do Entorno / Mansões Itamaracá / Mansões Ilha Bela / Condomínio Jardim dos Pinheiros / Jardim Alterosa / Chácaras Coimbra / Jardim Pérola / Mansões Village (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,467","0,558","0,738","0,247","6,52","257,56"
27,,"27,60","69,69","Quintas Paraíso / Mansões Imperatriz / Parque da Barragem / Condomínio Bela Vista / Jardim das Oliveiras / Jardim Sol Nascente / Jardim Guaíra / Residencial Portal da Barragem / Mansões Éden / Recreio das Águas Lindas (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,470","0,560","0,745","0,249","6,55","260,23"
28,,"24,60","71,06","Residencial Jardim Paraiso (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,517","0,601","0,768","0,299","7,63","337,49"
29,,"21,70","72,49","Rural : Mansões Samurai / Mansões Azaléia (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,623","0,641","0,792","0,476","9,03","432,38"
30,,"21,70","72,49","Agudos do Sul (Agudos do Sul , RM Curitiba)",,2000,"0,623","0,641","0,792","0,476","9,03","432,38"
31,,"33,81","67,23","Alcântara (Alcântara , RM Grande São Luís)",,2000,"0,513","0,584","0,704","0,329","8,65","303,22"
32,,"50,93","62,62","Alexânia (Alexânia , RIDE Distrito Federal e Entorno)",,2000,"0,405","0,433","0,627","0,244","7,05","118,37"
33,,"29,10","69,07","Betara (Almirante Tamandaré , RM Curitiba)",,2000,"0,520","0,600","0,735","0,318","8,15","335,05"
34,,"32,80","67,58","Bonfim (Almirante Tamandaré , RM Curitiba)",,2000,"0,484","0,552","0,710","0,290","8,03","247,62"
35,,"23,90","71,42","Cachoeira (Almirante Tamandaré , RM Curitiba)",,2000,"0,577","0,657","0,774","0,377","8,91","475,81"
36,,"28,10","69,51","Campina do Arruda (Almirante Tamandaré , RM Curitiba)",,2000,"0,579","0,628","0,742","0,417","9,01","398,45"
37,,"28,90","69,15","Centro (Almirante Tamandaré , RM Curitiba)",,2000,"0,584","0,617","0,736","0,438","8,61","373,01"
38,,"20,40","73,18","Jardim Planalto / Jardim Valença / Botiatuba (Almirante Tamandaré , RM Curitiba)",,2000,"0,680","0,693","0,803","0,565","10,58","595,39"
39,,"31,80","67,99","Jardim Santa Maria (Almirante Tamandaré , RM Curitiba)",,2000,"0,511","0,582","0,717","0,319","7,35","299,40"
