,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
63,,77.28,57.19,Joaquim Gomes (AL),,1991,0.260,0.431,0.537,0.076,5.59,117.17
64,,73.86,57.86,Jundiá (AL),,1991,0.223,0.399,0.548,0.051,6.24,95.55
65,,89.24,54.97,Junqueiro (AL),,1991,0.278,0.453,0.500,0.095,5.06,133.86
66,,72.54,58.12,Lagoa da Canoa (AL),,1991,0.281,0.429,0.552,0.094,7.01,115.22
67,,83.93,55.93,Limoeiro de Anadia (AL),,1991,0.248,0.406,0.516,0.073,4.43,100.05
68,,83.93,55.93,Maceió (AL),,1991,0.214,0.394,0.516,0.048,4.05,92.83
69,,60.63,60.65,Major Isidoro (AL),,1991,0.507,0.649,0.594,0.339,7.96,455.26
70,,83.93,55.93,Maragogi (AL),,1991,0.281,0.437,0.516,0.098,6.77,121.50
71,,65.08,59.68,Maravilha (AL),,1991,0.278,0.421,0.578,0.088,4.98,109.95
72,,71.73,58.28,Marechal Deodoro (AL),,1991,0.300,0.367,0.555,0.132,4.49,78.36
73,,53.97,62.20,Maribondo (AL),,1991,0.349,0.461,0.620,0.149,7.44,140.73
74,,66.04,59.47,Mar Vermelho (AL),,1991,0.327,0.465,0.575,0.131,6.48,144.68
75,,63.35,60.05,Mata Grande (AL),,1991,0.274,0.403,0.584,0.087,6.91,98.35
76,,73.93,57.84,Matriz de Camaragibe (AL),,1991,0.253,0.381,0.547,0.078,6.62,85.42
77,,68.05,59.04,Messias (AL),,1991,0.332,0.410,0.567,0.157,6.72,102.61
78,,83.93,55.93,Minador do Negrão (AL),,1991,0.306,0.478,0.516,0.116,5.77,157.08
79,,72.54,58.12,Monteirópolis (AL),,1991,0.263,0.415,0.552,0.079,5.61,105.59
80,,93.38,54.25,Murici (AL),,1991,0.251,0.368,0.488,0.088,6.52,79.12
81,,79.61,56.74,Novo Lino (AL),,1991,0.273,0.428,0.529,0.090,7.30,115.10
82,,96.21,53.76,Olho D'Água das Flores (AL),,1991,0.281,0.491,0.479,0.094,5.59,170.10
83,,86.21,55.52,Olho D'Água do Casado (AL),,1991,0.322,0.470,0.509,0.140,5.90,149.47
84,,83.93,55.93,Olho D'Água Grande (AL),,1991,0.259,0.461,0.516,0.073,5.34,140.74
85,,85.01,55.74,Olivença (AL),,1991,0.238,0.357,0.512,0.074,4.23,73.67
86,,100.56,53.04,Ouro Branco (AL),,1991,0.217,0.354,0.467,0.062,5.92,72.42
87,,86.21,55.52,Palestina (AL),,1991,0.291,0.370,0.509,0.131,5.42,80.04
88,,93.38,54.25,Palmeira dos Índios (AL),,1991,0.317,0.377,0.488,0.173,6.18,83.36
89,,63.35,60.05,Pão de Açúcar (AL),,1991,0.385,0.503,0.584,0.195,7.08,182.95
90,,71.73,58.28,Pariconha (AL),,1991,0.345,0.467,0.555,0.159,5.61,145.98
91,,82.91,56.12,Paripueira (AL),,1991,0.227,0.354,0.519,0.064,6.01,72.56
92,,65.40,59.61,Passo de Camaragibe (AL),,1991,0.312,0.389,0.577,0.135,8.32,90.29
93,,83.32,56.05,Paulo Jacinto (AL),,1991,0.249,0.407,0.518,0.073,7.08,100.70
94,,77.28,57.19,Penedo (AL),,1991,0.282,0.365,0.537,0.114,6.38,77.56
95,,70.48,58.54,Piaçabuçu (AL),,1991,0.411,0.516,0.559,0.240,7.46,198.63
96,,70.48,58.54,Pilar (AL),,1991,0.316,0.475,0.559,0.119,5.51,153.88
97,,89.32,54.96,Pindoba (AL),,1991,0.325,0.474,0.499,0.145,6.46,153.23
98,,87.16,55.34,Piranhas (AL),,1991,0.252,0.451,0.506,0.070,5.66,132.07
99,,77.28,57.19,Poço das Trincheiras (AL),,1991,0.398,0.553,0.537,0.213,6.99,250.37
100,,104.66,52.37,Porto Calvo (AL),,1991,0.240,0.343,0.456,0.088,5.34,67.71
101,,60.63,60.65,Porto de Pedras (AL),,1991,0.322,0.472,0.594,0.119,7.18,150.90
102,,86.21,55.52,Porto Real do Colégio (AL),,1991,0.255,0.388,0.509,0.084,6.28,89.28
