Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"Jardim da Barragem / Mansões Olinda / Mansões Pôr do Sol / Mansões Centroeste (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)";HDU;--;70,80;74,11;25,20;14,40;0,498;0,684;0,578;0,642;0,763;0,819;0,280;0,609;7,50;9,78;292,51;434,00
"Jardim Santa Lúcia / Mansões Chácara Santa Lúcia / Jardim Águas Lindas / Recreio das Águas Lindas / Recreio das Águas Lindas 2 / Quinta das Águas Lindas / Quintas Vale Verde / Parque das Águas Bonitas (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)";HDU;--;69,28;73,57;28,60;15,20;0,467;0,665;0,558;0,630;0,738;0,810;0,247;0,577;6,52;9,65;257,56;403,76
"Padre Lucio / Colonial Parque / Jardim do Entorno / Condomínio Embaixador / Cidade do Entorno / Mansões Itamaracá / Mansões Ilha Bela / Condomínio Jardim dos Pinheiros / Jardim Alterosa / Chácaras Coimbra / Jardim Pérola / Mansões Village (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)";HDU;--;69,69;72,63;27,60;16,60;0,470;0,659;0,560;0,623;0,745;0,794;0,249;0,578;6,55;9,89;260,23;387,33
"Quintas Paraíso / Mansões Imperatriz / Parque da Barragem / Condomínio Bela Vista / Jardim das Oliveiras / Jardim Sol Nascente / Jardim Guaíra / Residencial Portal da Barragem / Mansões Éden / Recreio das Águas Lindas (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)";HDU;--;71,06;74,66;24,60;13,60;0,517;0,673;0,601;0,648;0,768;0,828;0,299;0,568;7,63;9,42;337,49;451,78
"Residencial Jardim Paraiso (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)";HDU;--;72,49;75,30;21,70;13,46;0,623;0,736;0,641;0,707;0,792;0,838;0,476;0,674;9,03;10,71;432,38;651,78
"Rural : Mansões Samurai / Mansões Azaléia (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)";HDU;--;72,49;75,39;21,70;12,60;0,623;0,727;0,641;0,709;0,792;0,840;0,476;0,646;9,03;9,42;432,38;657,87
"Agudos do Sul (Agudos do Sul , RM Curitiba)";HDU;--;67,23;72,41;33,81;16,40;0,513;0,660;0,584;0,671;0,704;0,790;0,329;0,543;8,65;10,49;303,22;519,63
"Alcântara (Alcântara , RM Grande São Luís)";HDU;--;62,62;70,18;50,93;28,80;0,405;0,573;0,433;0,525;0,627;0,753;0,244;0,475;7,05;8,42;118,37;209,27
"Alexânia (Alexânia , RIDE Distrito Federal e Entorno)";HDU;--;69,07;75,48;29,10;12,50;0,520;0,682;0,600;0,664;0,735;0,841;0,318;0,568;8,15;9,27;335,05;498,09
"Betara (Almirante Tamandaré , RM Curitiba)";HDU;--;67,58;69,17;32,80;22,00;0,484;0,603;0,552;0,626;0,710;0,736;0,290;0,475;8,03;8,88;247,62;392,56
"Bonfim (Almirante Tamandaré , RM Curitiba)";HDU;--;71,42;73,20;23,90;15,20;0,577;0,672;0,657;0,681;0,774;0,803;0,377;0,554;8,91;9,72;475,81;555,46
"Cachoeira (Almirante Tamandaré , RM Curitiba)";HDU;--;69,51;73,20;28,10;15,20;0,579;0,672;0,628;0,681;0,742;0,803;0,417;0,554;9,01;9,72;398,45;555,46
"Campina do Arruda (Almirante Tamandaré , RM Curitiba)";HDU;--;69,15;75,01;28,90;12,70;0,584;0,712;0,617;0,702;0,736;0,834;0,438;0,616;8,61;10,37;373,01;631,57
