Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Anadia (AL)";Municipality;270020;57.19;64.65;70.35;77.28;44.96;28.40;0.302;0.428;0.568;0.433;0.491;0.546;0.537;0.661;0.756;0.118;0.242;0.444;6.23;6.76;8.64;118.12;170.30;239.53
"Arapiraca (AL)";Municipality;270030;56.48;64.01;71.82;80.99;47.40;22.00;0.359;0.476;0.649;0.532;0.558;0.638;0.525;0.650;0.780;0.165;0.297;0.549;6.67;7.56;9.61;219.56;258.45;423.28
"Atalaia (AL)";Municipality;270040;62.91;67.08;70.13;51.06;36.38;29.00;0.285;0.407;0.561;0.434;0.474;0.545;0.632;0.701;0.752;0.084;0.203;0.431;7.69;5.21;8.29;118.92;152.85;237.33
"Barra de Santo Antônio (AL)";Municipality;270050;58.12;65.01;68.90;72.54;43.62;33.10;0.265;0.378;0.557;0.398;0.460;0.552;0.552;0.667;0.732;0.085;0.176;0.428;7.42;5.59;8.25;95.27;140.20;247.81
"Barra de São Miguel (AL)";Municipality;270060;58.12;65.97;71.02;72.54;40.18;26.30;0.275;0.440;0.615;0.476;0.531;0.638;0.552;0.683;0.767;0.079;0.235;0.475;6.21;6.22;8.46;154.82;218.00;422.78
"Batalha (AL)";Municipality;270070;53.86;62.29;70.10;95.65;54.28;29.20;0.291;0.401;0.594;0.468;0.551;0.563;0.481;0.622;0.752;0.110;0.188;0.496;6.30;5.76;8.54;147.26;246.02;265.62
"Belém (AL)";Municipality;270080;59.04;64.28;70.86;68.05;46.35;26.80;0.298;0.416;0.593;0.444;0.465;0.587;0.567;0.655;0.764;0.105;0.236;0.464;5.50;6.31;9.35;126.56;144.86;309.50
"Belo Monte (AL)";Municipality;270090;54.70;62.75;68.49;90.80;52.40;34.50;0.227;0.331;0.517;0.373;0.419;0.507;0.495;0.629;0.725;0.063;0.137;0.376;5.16;5.82;8.22;81.56;108.35;187.77
"Boca da Mata (AL)";Municipality;270100;59.55;64.85;70.47;65.65;44.22;28.00;0.333;0.420;0.604;0.450;0.492;0.560;0.576;0.664;0.758;0.143;0.227;0.518;4.46;7.07;9.95;131.36;170.78;260.20
"Branquinha (AL)";Municipality;270110;54.77;59.42;66.96;90.38;67.07;40.20;0.197;0.311;0.513;0.369;0.437;0.534;0.496;0.574;0.699;0.042;0.120;0.362;2.34;4.14;8.04;79.46;121.11;221.93
"Cacimbinhas (AL)";Municipality;270120;56.63;62.24;66.82;80.22;54.52;40.60;0.282;0.359;0.531;0.450;0.463;0.559;0.527;0.621;0.697;0.095;0.161;0.384;6.18;4.91;9.13;131.92;142.84;259.72
"Cajueiro (AL)";Municipality;270130;54.40;60.49;66.45;92.50;62.14;42.10;0.288;0.385;0.562;0.429;0.445;0.542;0.490;0.592;0.691;0.114;0.217;0.473;3.77;5.75;8.78;115.66;127.46;232.85
"Campestre (AL)";Municipality;270135;56;61.07;68.73;83.56;59.52;33.70;0.312;0.412;0.559;0.432;0.480;0.550;0.517;0.601;0.729;0.136;0.243;0.435;7.59;6.37;8.59;117.67;158.19;245.43
"Campo Alegre (AL)";Municipality;270140;59.55;64.85;69.50;65.65;44.22;31.10;0.292;0.393;0.570;0.460;0.468;0.531;0.576;0.664;0.742;0.094;0.195;0.470;5.28;6.46;7.74;140.40;147.16;217.72
"Campo Grande (AL)";Municipality;270150;55.93;63.20;69.35;83.93;50.57;31.60;0.214;0.337;0.524;0.357;0.427;0.502;0.516;0.637;0.739;0.053;0.141;0.387;4.85;4.58;8.57;73.75;114.38;181.54
"Canapi (AL)";Municipality;270160;53.04;61.48;68.11;100.56;57.74;35.90;0.205;0.306;0.506;0.390;0.378;0.504;0.467;0.608;0.719;0.047;0.125;0.357;5.23;5.51;8.44;90.55;83.83;183.83
"Capela (AL)";Municipality;270170;58.12;62.48;69.59;72.55;53.51;30.80;0.288;0.379;0.573;0.419;0.464;0.554;0.552;0.625;0.743;0.103;0.188;0.456;6.23;5.05;8.70;108.30;143.42;251.36
"Carneiros (AL)";Municipality;270180;52.42;59.52;67.56;104.35;66.63;37.90;0.271;0.356;0.526;0.410;0.432;0.517;0.457;0.575;0.709;0.106;0.182;0.398;6.26;6.44;7.85;102.67;117.40;199.58
"Chã Preta (AL)";Municipality;270190;57.19;61.48;69.22;77.28;57.74;32.00;0.287;0.383;0.575;0.405;0.437;0.537;0.537;0.608;0.737;0.109;0.211;0.481;5.72;5.86;9.62;99.58;121.46;226.60
"Coité do Nóia (AL)";Municipality;270200;55.93;63.20;68.80;83.93;50.57;33.40;0.235;0.354;0.533;0.418;0.440;0.520;0.516;0.637;0.730;0.060;0.158;0.398;5.32;6.07;9.33;107.71;123.33;203.15
"Colônia Leopoldina (AL)";Municipality;270210;56;60.89;66.55;83.56;60.31;41.70;0.255;0.377;0.517;0.403;0.478;0.548;0.517;0.598;0.693;0.080;0.187;0.363;6.48;6.11;7.11;98.44;156.88;242.28
"Coqueiro Seco (AL)";Municipality;270220;59.55;66.90;70.40;65.65;36.98;28.20;0.344;0.466;0.586;0.485;0.511;0.582;0.576;0.698;0.757;0.146;0.284;0.457;5.99;5.37;9.76;163.51;192.90;299.47
"Coruripe (AL)";Municipality;270230;59.55;63.28;71.12;65.65;50.26;26.00;0.317;0.419;0.626;0.477;0.515;0.591;0.576;0.638;0.769;0.116;0.224;0.541;5.75;5.99;10.04;155.81;197.45;315.85
"Craíbas (AL)";Municipality;270235;55.93;63.20;66.22;83.93;50.57;43.00;0.204;0.344;0.525;0.402;0.430;0.517;0.516;0.637;0.687;0.041;0.148;0.408;2.61;5.63;8.82;97.79;116.00;199.54
"Delmiro Gouveia (AL)";Municipality;270240;57.19;64.44;71.42;77.28;45.73;25.10;0.334;0.436;0.612;0.464;0.537;0.599;0.537;0.657;0.774;0.149;0.235;0.494;6.91;6.43;8.67;143.20;226.71;332.13
"Dois Riachos (AL)";Municipality;270250;55.52;63.06;70.74;86.21;51.11;27.20;0.261;0.370;0.532;0.403;0.470;0.513;0.509;0.634;0.762;0.087;0.170;0.385;5.02;4.97;8.41;98.28;148.66;194.81
"Estrela de Alagoas (AL)";Municipality;270255;57.92;61.60;68.19;73.54;57.22;35.60;0.221;0.322;0.534;0.394;0.406;0.515;0.549;0.610;0.720;0.050;0.135;0.410;4.48;6.00;9.42;92.68;99.88;196.92
"Feira Grande (AL)";Municipality;270260;54.25;62.53;69.17;93.38;53.29;32.20;0.250;0.371;0.533;0.403;0.454;0.512;0.488;0.626;0.736;0.079;0.180;0.402;7.10;6.01;8.94;98.17;135.19;193.07
"Feliz Deserto (AL)";Municipality;270270;58.54;66.19;67.46;70.48;39.42;38.20;0.329;0.411;0.565;0.429;0.436;0.550;0.559;0.687;0.708;0.149;0.231;0.462;4.85;6.43;9.08;115.58;120.65;245.49
"Flexeiras (AL)";Municipality;270280;54.40;61.48;66.59;92.50;57.73;41.60;0.232;0.373;0.527;0.404;0.450;0.528;0.490;0.608;0.693;0.063;0.190;0.400;5.50;5.54;8.75;99.04;131.99;213.44
"Girau do Ponciano (AL)";Municipality;270290;55.93;63.06;70.72;83.93;51.11;27.20;0.241;0.335;0.536;0.405;0.422;0.498;0.516;0.634;0.762;0.067;0.141;0.405;3.90;5.77;9.09;99.28;110.69;177.55
"Ibateguara (AL)";Municipality;270300;56.64;64.40;66.06;80.16;45.88;43.60;0.266;0.337;0.518;0.397;0.463;0.517;0.527;0.657;0.684;0.090;0.126;0.393;6.20;4.88;8.19;94.49;142.25;199.68
"Igaci (AL)";Municipality;270310;55.74;64.01;71.45;84.96;47.40;25.00;0.241;0.366;0.564;0.390;0.396;0.547;0.512;0.650;0.774;0.070;0.191;0.424;6.94;6.15;9.64;90.71;93.96;241.17
"Igreja Nova (AL)";Municipality;270320;58.54;66.90;71.23;70.48;36.98;25.70;0.220;0.374;0.568;0.391;0.428;0.556;0.559;0.698;0.771;0.049;0.175;0.428;5.10;5.97;7.72;90.97;114.65;254.34
"Inhapi (AL)";Municipality;270330;53.04;61.19;68.09;100.56;59.00;36.00;0.189;0.281;0.484;0.364;0.409;0.501;0.467;0.603;0.718;0.040;0.090;0.316;6.57;4.33;7.47;76.86;102.21;180.64
"Jacaré dos Homens (AL)";Municipality;270340;55.93;63.06;70.54;83.93;51.11;27.80;0.296;0.400;0.583;0.439;0.535;0.543;0.516;0.634;0.759;0.114;0.188;0.481;3.73;4.44;8.75;122.99;222.72;235.11
