Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Barra de São Francisco (ES)";Municipality;320090;64.02;69.17;73.90;41.71;25.83;15.60;0.400;0.565;0.683;0.522;0.614;0.673;0.650;0.736;0.815;0.188;0.399;0.580;8.79;9.70;9.00;206.57;365.47;527.84
"Boa Esperança (ES)";Municipality;320100;64.43;68.63;73.95;40.26;27.29;15.60;0.416;0.564;0.679;0.530;0.604;0.651;0.657;0.727;0.816;0.207;0.408;0.590;9.26;9.01;9.22;217.04;342.88;460.69
"Bom Jesus do Norte (ES)";Municipality;320110;65.56;71.30;76.22;36.49;20.47;12.50;0.510;0.622;0.734;0.560;0.627;0.689;0.676;0.772;0.854;0.351;0.496;0.673;8.21;9.38;9.93;260.68;396.45;584.06
"Brejetuba (ES)";Municipality;320115;65.05;69.05;74.65;38.17;26.15;14.60;0.431;0.509;0.656;0.544;0.624;0.630;0.668;0.734;0.828;0.221;0.288;0.540;6.25;6.29;9.47;236.69;389.27;402.56
"Cachoeiro de Itapemirim (ES)";Municipality;320120;65.50;69.17;75.20;36.68;25.83;13.80;0.524;0.631;0.746;0.632;0.678;0.733;0.675;0.736;0.837;0.338;0.503;0.677;9.94;9.51;9.61;408.35;544.76;763.71
"Cariacica (ES)";Municipality;320130;66.19;70.72;75.64;34.48;21.86;13.20;0.497;0.613;0.718;0.586;0.641;0.699;0.687;0.762;0.844;0.305;0.471;0.628;9.26;9.69;9.38;306.87;432.25;620.89
"Castelo (ES)";Municipality;320140;69.78;74.85;76.09;24.23;12.91;12.60;0.476;0.651;0.726;0.566;0.669;0.703;0.746;0.831;0.852;0.255;0.497;0.639;9.44;9.63;8.07;270.97;514.86;636.49
"Colatina (ES)";Municipality;320150;68.46;70.72;75.45;27.76;21.86;13.50;0.546;0.657;0.746;0.609;0.682;0.738;0.724;0.762;0.841;0.370;0.546;0.668;10.23;9.75;8.89;354.41;557.04;788.29
"Conceição da Barra (ES)";Municipality;320160;63.50;69.17;73.59;43.54;25.83;16.10;0.407;0.570;0.681;0.532;0.589;0.648;0.642;0.736;0.810;0.198;0.427;0.603;7.90;9.32;9.73;218.72;312.62;450.71
"Conceição do Castelo (ES)";Municipality;320170;63.89;69.03;73.59;42.17;26.21;16.10;0.408;0.551;0.670;0.514;0.604;0.685;0.648;0.734;0.810;0.204;0.378;0.541;8.64;8.14;8.08;196.43;342.80;567.83
"Divino de São Lourenço (ES)";Municipality;320180;63.39;68.63;74.16;43.96;27.29;15.20;0.352;0.470;0.632;0.462;0.517;0.622;0.640;0.727;0.819;0.148;0.277;0.496;8.74;7.53;9.39;141.50;199.21;383.78
"Domingos Martins (ES)";Municipality;320190;65.50;69.39;74.98;36.68;25.23;14.10;0.388;0.541;0.669;0.569;0.642;0.680;0.675;0.740;0.833;0.152;0.334;0.528;8.44;7.82;8.52;275.34;434.64;551.74
"Dores do Rio Preto (ES)";Municipality;320200;64.24;69.39;73.78;40.94;25.23;15.80;0.406;0.570;0.654;0.554;0.659;0.635;0.654;0.740;0.813;0.185;0.380;0.542;8.25;8.36;10.04;250.93;484.58;414.87
"Ecoporanga (ES)";Municipality;320210;62.93;68.63;74.13;45.66;27.29;15.30;0.397;0.542;0.662;0.527;0.587;0.631;0.632;0.727;0.819;0.188;0.374;0.562;8.62;9.10;9.16;212.33;308.06;406.49
"Fundão (ES)";Municipality;320220;65.05;69.03;75.34;38.17;26.21;13.60;0.495;0.598;0.718;0.603;0.649;0.708;0.668;0.734;0.839;0.301;0.448;0.623;9.26;9.24;8.83;340.33;453.81;657.18
"Governador Lindenberg (ES)";Municipality;320225;64.24;70.15;74.35;40.94;23.28;15.00;0.389;0.544;0.694;0.469;0.591;0.669;0.654;0.753;0.823;0.192;0.361;0.608;8.15;9.17;9.69;148.48;317.38;515.11
"Guaçuí (ES)";Municipality;320230;65.50;70.59;75.73;36.68;22.19;13.10;0.487;0.599;0.703;0.599;0.665;0.691;0.675;0.760;0.846;0.285;0.425;0.595;9.39;8.41;8.97;331.74;500.50;587.91
"Guarapari (ES)";Municipality;320240;66.33;72.02;75.21;34.03;18.80;14.43;0.500;0.637;0.731;0.607;0.680;0.746;0.689;0.784;0.837;0.299;0.484;0.626;8.97;9.23;8.91;350.12;550.19;830.51
"Ibatiba (ES)";Municipality;320245;64.37;69.58;74.80;40.46;24.76;14.40;0.374;0.542;0.647;0.496;0.639;0.651;0.656;0.743;0.830;0.161;0.335;0.501;8.16;7.67;8.39;175.18;426.73;458.35
"Ibiraçu (ES)";Municipality;320250;65.50;70.59;75.08;36.68;22.19;14.00;0.484;0.652;0.726;0.577;0.691;0.733;0.675;0.760;0.835;0.292;0.527;0.625;9.71;10.33;8.74;290.02;588.50;764.33
"Ibitirama (ES)";Municipality;320255;62.93;68.79;74.24;45.66;26.85;15.10;0.356;0.483;0.622;0.512;0.606;0.609;0.632;0.730;0.821;0.140;0.255;0.481;7.90;7.21;9.44;193.29;347.67;353.86
"Iconha (ES)";Municipality;320260;68.09;73.50;74.77;28.80;15.59;14.40;0.491;0.654;0.729;0.595;0.708;0.709;0.718;0.808;0.830;0.277;0.489;0.658;9.88;9.74;9.09;323.97;655.48;660.78
"Irupi (ES)";Municipality;320265;64.24;68.12;72.90;40.94;28.72;17.10;0.315;0.486;0.637;0.505;0.625;0.658;0.654;0.719;0.798;0.095;0.255;0.493;8.35;6.74;7.82;184.90;390.68;481.28
"Itaguaçu (ES)";Municipality;320270;67.49;70.53;73.10;30.53;22.34;16.80;0.471;0.612;0.702;0.548;0.629;0.672;0.708;0.759;0.802;0.269;0.481;0.641;9.52;9.63;9.78;241.90;400.42;522.25
"Itapemirim (ES)";Municipality;320280;62.03;67.09;73.50;49.05;31.72;16.20;0.372;0.525;0.654;0.515;0.590;0.640;0.617;0.702;0.808;0.162;0.349;0.540;8.75;7.73;8.94;197.57;313.96;428.61
"Itarana (ES)";Municipality;320290;68.09;70.15;73.51;28.80;23.28;16.20;0.480;0.581;0.684;0.576;0.628;0.696;0.718;0.753;0.809;0.267;0.415;0.568;8.79;8.56;9.24;288.33;398.10;607.49
"Iúna (ES)";Municipality;320300;64.37;70.40;74.74;40.46;22.65;14.40;0.371;0.531;0.666;0.543;0.648;0.665;0.656;0.757;0.829;0.143;0.305;0.537;8.61;7.44;9.10;234.87;450.23;501.21
"Jaguaré (ES)";Municipality;320305;61.10;67.09;73.59;52.77;31.72;16.10;0.423;0.524;0.678;0.601;0.615;0.678;0.602;0.702;0.810;0.209;0.333;0.568;8.86;8.71;8.66;337.28;367.52;543.60
"Jerônimo Monteiro (ES)";Municipality;320310;66.19;70.74;75.61;34.48;26.73;13.20;0.452;0.600;0.698;0.558;0.628;0.685;0.687;0.762;0.844;0.241;0.451;0.589;9.57;9.05;9.55;257.02;397.96;566.32
"João Neiva (ES)";Municipality;320313;69.78;74.85;76.42;24.23;12.91;12.20;0.536;0.658;0.753;0.606;0.647;0.751;0.746;0.831;0.857;0.341;0.529;0.663;8.85;10.20;9.55;347.61;449.66;859.01
"Laranja da Terra (ES)";Municipality;320316;65.50;69.39;73.59;36.68;25.23;16.10;0.355;0.551;0.656;0.483;0.596;0.633;0.675;0.740;0.810;0.137;0.380;0.550;8.24;9.58;10.42;161.51;326.35;411.93
"Linhares (ES)";Municipality;320320;66.13;70.53;75.05;34.65;22.34;14.00;0.470;0.621;0.724;0.590;0.668;0.721;0.686;0.759;0.834;0.257;0.473;0.630;9.38;9.37;8.97;315.11;509.56;711.38
"Mantenópolis (ES)";Municipality;320330;61.10;67.09;73.61;52.77;31.72;16.00;0.374;0.528;0.657;0.512;0.598;0.636;0.602;0.702;0.810;0.170;0.351;0.551;9.17;9.28;9.01;193.96;331.46;417.83
"Marataízes (ES)";Municipality;320332;64.24;70.40;75.80;40.94;22.65;13.00;0.441;0.592;0.696;0.577;0.646;0.676;0.654;0.757;0.847;0.227;0.424;0.588;8.93;9.11;8.61;290.69;446.30;538.07
"Marechal Floriano (ES)";Municipality;320334;65.05;70.74;75.95;38.17;26.73;12.80;0.410;0.585;0.710;0.567;0.660;0.715;0.668;0.762;0.849;0.182;0.399;0.589;9.15;9.09;9.29;271.90;484.90;683.63
"Marilândia (ES)";Municipality;320335;68.46;70.72;74.35;27.76;21.86;15.00;0.482;0.597;0.696;0.566;0.613;0.668;0.724;0.762;0.823;0.273;0.456;0.612;9.48;10.05;8.57;270.45;363.52;510.91
"Mimoso do Sul (ES)";Municipality;320340;66.13;71.04;74.64;34.65;21.09;14.60;0.415;0.572;0.670;0.513;0.614;0.672;0.686;0.767;0.827;0.203;0.398;0.541;8.75;8.45;8.19;194.18;364.86;523.04
"Montanha (ES)";Municipality;320350;64.43;69.05;73.96;40.26;26.15;15.50;0.423;0.558;0.667;0.547;0.634;0.679;0.657;0.734;0.816;0.210;0.373;0.535;8.23;8.93;9.49;241.21;414.43;547.46
"Mucurici (ES)";Municipality;320360;63.16;69.05;74.70;44.79;26.15;14.50;0.383;0.519;0.666;0.557;0.525;0.617;0.636;0.734;0.828;0.158;0.362;0.577;8.11;8.90;9.22;255.60;209.38;372.63
"Muniz Freire (ES)";Municipality;320370;65.56;68.63;74.24;36.49;27.29;15.10;0.399;0.540;0.645;0.518;0.654;0.637;0.676;0.727;0.821;0.181;0.332;0.512;9.19;8.17;8.77;200.73;467.10;421.86
"Muqui (ES)";Municipality;320380;64.05;69.03;73.10;41.58;26.21;16.80;0.431;0.589;0.694;0.545;0.640;0.673;0.651;0.734;0.802;0.225;0.434;0.619;8.81;8.30;9.39;237.42;427.99;528.68
"Nova Venécia (ES)";Municipality;320390;67.63;73.50;75.48;30.12;15.59;13.40;0.459;0.627;0.712;0.552;0.642;0.692;0.711;0.808;0.841;0.247;0.476;0.621;9.25;10.00;9.52;248.41;433.36;592.06
"Pancas (ES)";Municipality;320400;61.40;68.12;73.89;51.56;28.72;15.60;0.359;0.527;0.667;0.500;0.585;0.648;0.607;0.719;0.815;0.152;0.348;0.562;8.12;7.85;8.87;179.84;305.33;451.21
"Pedro Canário (ES)";Municipality;320405;63.89;69.04;73.71;42.17;26.18;15.90;0.386;0.544;0.654;0.564;0.573;0.643;0.648;0.734;0.812;0.157;0.383;0.536;8.28;8.84;8.51;268.24;283.72;437.08
"Pinheiros (ES)";Municipality;320410;64.02;68.79;73.96;41.71;26.85;15.50;0.424;0.567;0.673;0.577;0.591;0.668;0.650;0.730;0.816;0.203;0.422;0.558;8.60;9.68;10.10;290.20;316.24;509.45
"Piúma (ES)";Municipality;320420;66.19;72.02;76.11;34.48;18.80;12.60;0.505;0.624;0.727;0.588;0.658;0.702;0.687;0.784;0.852;0.319;0.472;0.643;9.70;9.32;9.04;310.52;480.79;629.90
"Ponto Belo (ES)";Municipality;320425;64.37;66.50;71.96;40.46;33.50;18.60;0.415;0.547;0.669;0.541;0.576;0.631;0.656;0.692;0.783;0.201;0.411;0.605;8.47;9.22;9.57;232.15;288.62;405.19
"Presidente Kennedy (ES)";Municipality;320430;60.61;67.09;73.50;54.79;31.72;16.20;0.369;0.532;0.657;0.530;0.584;0.636;0.594;0.702;0.808;0.159;0.367;0.553;7.50;9.24;9.34;216.34;302.80;419.97
"Rio Bananal (ES)";Municipality;320435;66.13;69.17;73.10;34.65;25.83;16.80;0.407;0.567;0.681;0.512;0.636;0.680;0.686;0.736;0.802;0.192;0.390;0.579;9.83;9.11;9.19;193.35;417.63;550.55
"Rio Novo do Sul (ES)";Municipality;320440;67.63;71.30;75.21;30.12;20.47;13.80;0.480;0.593;0.711;0.567;0.625;0.692;0.711;0.772;0.837;0.275;0.432;0.620;9.03;8.43;8.70;273.25;390.85;594.24
"Santa Leopoldina (ES)";Municipality;320450;64.24;68.12;72.79;40.94;28.72;17.30;0.319;0.468;0.626;0.496;0.576;0.646;0.654;0.719;0.797;0.100;0.248;0.477;8.06;8.31;9.15;175.29;287.99;445.57
"Santa Maria de Jetibá (ES)";Municipality;320455;67.49;70.15;75.04;30.53;23.28;14.00;0.333;0.502;0.671;0.531;0.642;0.695;0.708;0.753;0.834;0.098;0.262;0.521;9.17;7.59;8.72;218.37;434.18;603.33
"Santa Teresa (ES)";Municipality;320460;69.78;73.50;75.04;24.23;15.59;14.00;0.494;0.620;0.714;0.597;0.675;0.722;0.746;0.808;0.834;0.270;0.437;0.604;10.58;9.39;9.21;329.43;532.31;716.25
"São Domingos do Norte (ES)";Municipality;320465;63.89;68.79;73.66;42.17;26.85;16.00;0.445;0.562;0.682;0.530;0.590;0.679;0.648;0.730;0.811;0.257;0.413;0.575;10.44;9.51;9.78;216.03;313.90;547.57
"São Gabriel da Palha (ES)";Municipality;320470;65.50;70.53;75.08;36.68;22.34;14.00;0.448;0.617;0.709;0.543;0.656;0.739;0.675;0.759;0.835;0.245;0.472;0.578;9.73;9.81;9.21;234.01;475.10;792.54
"São José do Calçado (ES)";Municipality;320480;66.13;70.40;73.81;34.65;22.65;15.80;0.461;0.608;0.688;0.545;0.635;0.669;0.686;0.757;0.814;0.262;0.467;0.599;9.13;9.16;8.97;237.10;416.83;514.57
"São Mateus (ES)";Municipality;320490;66.19;70.72;75.55;34.48;21.86;13.30;0.470;0.610;0.735;0.603;0.651;0.719;0.687;0.762;0.843;0.251;0.458;0.655;8.66;9.20;9.25;340.95;459.54;699.99
"São Roque do Canaã (ES)";Municipality;320495;67.49;70.53;73.16;30.53;22.34;16.70;0.436;0.603;0.700;0.525;0.620;0.686;0.708;0.759;0.803;0.223;0.467;0.623;9.95;9.85;9.96;210.49;378.34;572.42
"Serra (ES)";Municipality;320500;67.63;73.50;75.66;30.12;15.59;13.20;0.515;0.634;0.739;0.597;0.655;0.720;0.711;0.808;0.844;0.322;0.482;0.664;9.17;9.75;9.40;329.47;472.25;705.89
"Sooretama (ES)";Municipality;320501;64.37;68.12;73.10;40.46;28.72;16.80;0.332;0.523;0.662;0.468;0.591;0.650;0.656;0.719;0.802;0.119;0.337;0.556;7.99;8.19;8.69;147.32;316.51;457.49
"Vargem Alta (ES)";Municipality;320503;65.56;69.58;73.81;36.49;24.76;15.80;0.403;0.555;0.663;0.504;0.621;0.658;0.676;0.743;0.814;0.192;0.370;0.544;8.51;8.10;9.07;183.72;381.72;480.01
"Venda Nova do Imigrante (ES)";Municipality;320506;65.56;70.74;75.69;36.49;26.73;13.20;0.487;0.654;0.728;0.605;0.690;0.731;0.676;0.762;0.845;0.282;0.533;0.624;9.14;9.45;9.43;345.79;586.55;754.66
"Viana (ES)";Municipality;320510;64.43;68.79;73.94;40.26;26.85;15.60;0.438;0.592;0.686;0.548;0.608;0.672;0.657;0.730;0.816;0.234;0.468;0.589;8.83;9.73;8.48;241.55;351.80;523.61
"Vila Pavão (ES)";Municipality;320515;63.50;68.12;74.79;43.54;28.72;14.40;0.297;0.518;0.681;0.545;0.561;0.647;0.642;0.719;0.830;0.075;0.344;0.588;7.49;9.47;9.41;237.41;262.74;449.30
"Vila Valério (ES)";Municipality;320517;64.02;68.63;73.93;41.71;27.29;15.60;0.372;0.515;0.675;0.545;0.617;0.686;0.650;0.727;0.816;0.145;0.305;0.549;9.52;7.92;9.28;237.84;373.04;569.82
"Vila Velha (ES)";Municipality;320520;66.33;72.02;76.84;34.03;18.80;10.86;0.611;0.709;0.800;0.693;0.755;0.807;0.689;0.784;0.864;0.477;0.603;0.734;10.27;10.44;9.83;597.41;877.60;1211.79
"Vitória (ES)";Municipality;320530;67.87;70.74;76.28;31.73;26.73;11.37;0.644;0.759;0.845;0.754;0.820;0.876;0.715;0.762;0.855;0.495;0.700;0.805;9.90;10.59;10.04;871.44;1315.63;1866.58
"Abadia de Goiás (GO)";Municipality;520005;64.47;70.87;74.82;30.22;25.00;13.40;0.408;0.569;0.708;0.563;0.623;0.687;0.658;0.765;0.830;0.183;0.386;0.622;8.86;9.48;7.94;266.22;385.66;574.96
"Abadiânia (GO)";Municipality;520010;64.37;68.81;75.46;30.52;29.70;12.60;0.410;0.503;0.689;0.560;0.598;0.671;0.656;0.730;0.841;0.188;0.292;0.579;8.73;7.83;9.31;261.01;330.07;519.87
"Acreúna (GO)";Municipality;520013;64.48;71.96;74.29;30.21;22.70;14.20;0.429;0.571;0.686;0.599;0.665;0.710;0.658;0.783;0.822;0.200;0.358;0.553;7.68;8.78;9.78;331.60;500.67;664.09
"Adelândia (GO)";Municipality;520015;63.66;67.69;75.17;33.83;32.50;13.00;0.437;0.529;0.702;0.577;0.582;0.664;0.644;0.712;0.836;0.224;0.357;0.622;8.54;9.26;10.84;289.18;299.33;497.31
"Água Fria de Goiás (GO)";Municipality;520017;62.75;69.51;74.01;35.39;28.00;14.60;0.315;0.481;0.671;0.489;0.599;0.672;0.629;0.742;0.817;0.102;0.250;0.550;5.77;6.72;10.36;167.57;332.03;525.20
"Água Limpa (GO)";Municipality;520020;65.73;70.49;74.24;30.42;25.80;14.20;0.454;0.585;0.722;0.557;0.639;0.691;0.679;0.758;0.821;0.247;0.414;0.663;8.54;8.31;10.60;255.38;426.11;591.23
"Águas Lindas de Goiás (GO)";Municipality;520025;65.04;70.74;75.85;28.68;24.66;11.62;0.387;0.497;0.686;0.600;0.583;0.647;0.667;0.762;0.848;0.145;0.277;0.588;5.68;7.26;9.30;335.23;300.59;449.38
"Alexânia (GO)";Municipality;520030;63.83;69.07;75.48;36.52;29.10;12.50;0.378;0.520;0.682;0.529;0.600;0.664;0.647;0.735;0.841;0.158;0.318;0.568;7.92;8.15;8.84;215.34;335.05;498.09
"Aloândia (GO)";Municipality;520050;64.74;70.35;75.02;29.47;26.10;13.10;0.453;0.587;0.697;0.521;0.668;0.694;0.662;0.756;0.834;0.269;0.400;0.585;7.83;8.36;9.53;204.78;510.75;599.90
"Alto Horizonte (GO)";Municipality;520055;66.20;72.69;75.48;25.58;21.30;12.50;0.342;0.557;0.719;0.528;0.585;0.709;0.687;0.795;0.841;0.110;0.371;0.624;2.08;9.75;10.42;213.55;305.61;661.19
"Alto Paraíso de Goiás (GO)";Municipality;520060;66.20;72.20;74.16;25.58;22.20;14.30;0.428;0.572;0.713;0.555;0.640;0.723;0.687;0.787;0.819;0.206;0.371;0.611;7.64;7.71;9.56;253.57;428.31;719.11
"Alvorada do Norte (GO)";Municipality;520080;62.08;67.12;74.15;37.57;34.00;14.40;0.402;0.533;0.660;0.545;0.587;0.640;0.618;0.702;0.819;0.193;0.367;0.548;6.90;8.61;9.25;237.45;308.86;429.63
"Amaralina (GO)";Municipality;520082;64.78;70.05;73.75;29.36;26.80;14.90;0.264;0.484;0.609;0.547;0.558;0.569;0.663;0.751;0.813;0.051;0.270;0.489;4.61;6.60;8.54;241.27;257.16;276.05
"Americano do Brasil (GO)";Municipality;520085;63.56;70.26;73.77;32.90;26.30;14.90;0.422;0.591;0.700;0.591;0.658;0.669;0.643;0.754;0.813;0.198;0.416;0.631;7.46;9.79;9.79;316.59;481.55;512.95
"Amorinópolis (GO)";Municipality;520090;63.42;67.72;73.79;33.31;32.40;14.90;0.435;0.559;0.681;0.589;0.605;0.672;0.640;0.712;0.813;0.219;0.406;0.579;8.58;10.24;9.40;312.21;344.85;523.25
"Anápolis (GO)";Municipality;520110;65.18;71.54;74.33;28.27;23.88;15.14;0.518;0.641;0.737;0.650;0.691;0.737;0.670;0.776;0.822;0.320;0.491;0.660;8.96;9.73;9.82;457.07;589.77;785.17
"Anhanguera (GO)";Municipality;520120;67.12;71.35;73.11;25.54;24.00;17.80;0.518;0.589;0.725;0.520;0.635;0.724;0.702;0.773;0.802;0.380;0.417;0.657;8.22;9.47;7.22;203.63;415.18;721.84
"Anicuns (GO)";Municipality;520130;65.20;71.90;75.01;28.21;22.80;13.20;0.428;0.598;0.714;0.554;0.642;0.695;0.670;0.782;0.834;0.211;0.426;0.627;7.76;8.77;10.47;251.30;434.18;604.97
"Aparecida de Goiânia (GO)";Municipality;520140;64.48;71.71;75.01;30.20;23.51;13.20;0.445;0.582;0.718;0.584;0.628;0.716;0.658;0.779;0.834;0.229;0.403;0.620;7.59;8.99;9.31;303.36;399.29;689.30
"Aparecida do Rio Doce (GO)";Municipality;520145;66.20;72.17;73.84;25.58;22.30;14.80;0.373;0.565;0.693;0.527;0.632;0.700;0.687;0.786;0.814;0.143;0.363;0.583;4.74;8.20;7.57;212.57;409.31;623.58
"Aporé (GO)";Municipality;520150;65.73;72.85;74.40;30.42;21.00;14.00;0.372;0.574;0.693;0.589;0.698;0.692;0.679;0.798;0.823;0.129;0.339;0.584;7.09;8.85;9.06;312.45;616.48;595.05
"Araçu (GO)";Municipality;520160;65.78;71.76;75.26;26.67;23.10;12.80;0.416;0.567;0.693;0.541;0.580;0.686;0.680;0.779;0.838;0.196;0.403;0.578;8.07;10.20;9.34;231.86;295.28;571.55
"Aragarças (GO)";Municipality;520170;64.17;70.85;74.82;31.09;25.00;13.40;0.414;0.594;0.732;0.556;0.619;0.694;0.653;0.764;0.830;0.195;0.443;0.680;8.10;9.07;10.56;253.83;376.09;600.03
"Aragoiânia (GO)";Municipality;520180;64.69;69.92;75.19;29.63;27.10;12.90;0.450;0.562;0.684;0.553;0.622;0.683;0.662;0.749;0.837;0.249;0.381;0.560;8.45;8.62;9.11;249.39;384.34;560.22
"Araguapaz (GO)";Municipality;520215;64.69;69.53;73.86;29.63;28.00;14.80;0.362;0.553;0.674;0.518;0.651;0.696;0.662;0.742;0.814;0.138;0.351;0.540;7.16;8.35;10.64;201;459.66;608.17
"Arenópolis (GO)";Municipality;520235;62.23;67.37;74.53;37.08;33.30;13.80;0.415;0.534;0.687;0.566;0.612;0.674;0.621;0.706;0.826;0.204;0.353;0.582;6.62;9.76;11.15;270.34;360.40;531.91
"Aruanã (GO)";Municipality;520250;65.92;70.37;74.55;26.31;26.10;13.80;0.355;0.504;0.675;0.589;0.607;0.708;0.682;0.756;0.826;0.111;0.279;0.526;7.64;7.61;8.39;312.03;349.01;654.67
"Aurilândia (GO)";Municipality;520260;64.09;70.60;75.17;31.32;25.60;13.00;0.480;0.588;0.700;0.596;0.597;0.661;0.652;0.760;0.836;0.284;0.447;0.620;8.26;10.15;10.19;326.30;327.63;489.23
"Avelinópolis (GO)";Municipality;520280;67.12;70.85;74.70;25.54;25.00;13.60;0.430;0.559;0.660;0.565;0.620;0.682;0.702;0.764;0.828;0.201;0.368;0.508;7.39;8.43;7.92;268.39;378.97;556.03
"Baliza (GO)";Municipality;520310;64.99;69.92;74.15;28.78;27.10;14.40;0.321;0.490;0.655;0.471;0.598;0.614;0.667;0.749;0.819;0.105;0.263;0.558;6.81;8.47;9.64;150.42;330.53;365.35
"Barro Alto (GO)";Municipality;520320;66.06;72.36;76.21;25.95;21.90;11.60;0.399;0.543;0.742;0.495;0.569;0.701;0.684;0.789;0.854;0.187;0.356;0.682;7.44;8.75;10.91;174.20;275.22;628.55
"Bela Vista de Goiás (GO)";Municipality;520330;65.75;71.41;75.21;26.73;23.80;12.90;0.446;0.560;0.716;0.600;0.623;0.721;0.679;0.774;0.837;0.218;0.365;0.607;8.34;8.35;9.26;334.09;386.79;708.62
"Bom Jardim de Goiás (GO)";Municipality;520340;63.80;69.10;73.68;32.18;29.00;15.00;0.421;0.542;0.670;0.567;0.609;0.680;0.647;0.735;0.811;0.203;0.356;0.545;8.87;8.65;10.02;272.82;354.70;551.54
"Bom Jesus de Goiás (GO)";Municipality;520350;66.06;71.90;76.59;25.95;22.80;11.10;0.450;0.570;0.701;0.601;0.654;0.699;0.684;0.782;0.860;0.222;0.363;0.573;9.33;8.47;8.73;337.23;468.04;618.62
"Bonfinópolis (GO)";Municipality;520355;64.47;71.62;74.00;30.22;23.40;14.60;0.413;0.548;0.683;0.534;0.626;0.671;0.658;0.777;0.817;0.200;0.338;0.580;7.63;7.57;10.68;221.85;394.13;520.02
"Bonópolis (GO)";Municipality;520357;62.08;67.01;73.75;37.57;34.30;14.90;0.261;0.451;0.630;0.515;0.559;0.630;0.618;0.700;0.813;0.056;0.234;0.488;6.86;7.78;8.54;196.68;259.39;403.94
"Brazabrantes (GO)";Municipality;520360;64.49;68.87;74.57;30.18;29.60;13.80;0.415;0.538;0.701;0.521;0.582;0.677;0.658;0.731;0.826;0.209;0.367;0.615;6.93;8.66;10.12;204.71;298.58;541.90
"Britânia (GO)";Municipality;520380;65.20;71.51;73.11;28.21;23.60;17.80;0.429;0.548;0.672;0.537;0.604;0.692;0.670;0.775;0.802;0.220;0.351;0.546;6.98;9.82;8.98;226.23;343.94;594.38
"Buriti Alegre (GO)";Municipality;520390;63.87;71.12;74.87;31.97;24.40;13.30;0.493;0.589;0.710;0.626;0.642;0.700;0.648;0.769;0.831;0.295;0.414;0.614;9.47;9.78;9.01;393.38;433.70;625.26
"Buriti de Goiás (GO)";Municipality;520393;63.05;68.01;73.34;34.44;31.70;15.60;0.401;0.530;0.687;0.486;0.552;0.707;0.634;0.717;0.806;0.210;0.377;0.570;7.38;8.73;9.96;164.77;248.59;650.67
"Buritinópolis (GO)";Municipality;520396;64.91;69.98;73.76;29.02;27.00;14.90;0.261;0.433;0.704;0.407;0.431;0.727;0.665;0.750;0.813;0.066;0.252;0.591;5.78;8.05;10.94;100.65;116.72;735.72
"Cabeceiras (GO)";Municipality;520400;63.09;67.10;74.15;34.34;34.00;14.40;0.392;0.546;0.668;0.528;0.579;0.637;0.635;0.702;0.819;0.180;0.400;0.571;8.57;9.11;8.65;213.56;293.23;420.47
"Cachoeira Alta (GO)";Municipality;520410;65.57;70.02;75.39;27.22;26.90;12.60;0.475;0.579;0.710;0.635;0.675;0.750;0.676;0.750;0.840;0.250;0.384;0.569;9.26;9.17;8.96;416.44;533.77;853.32
"Cachoeira de Goiás (GO)";Municipality;520420;63.56;68.53;75.26;32.90;30.40;12.80;0.378;0.575;0.727;0.551;0.594;0.680;0.643;0.726;0.838;0.152;0.440;0.674;8.40;8.84;11.50;247.27;321.63;549.16
"Cachoeira Dourada (GO)";Municipality;520425;66.06;71.89;73.22;25.95;22.90;15.70;0.440;0.589;0.698;0.600;0.644;0.703;0.684;0.782;0.804;0.208;0.406;0.602;8.03;7.76;10.05;334.78;439.47;636.17
"Caçu (GO)";Municipality;520430;67.02;72.24;75.40;23.54;22.20;12.60;0.452;0.621;0.730;0.655;0.680;0.774;0.700;0.787;0.840;0.201;0.448;0.599;7.66;9.37;9.54;470.79;550.81;987.30
"Caiapônia (GO)";Municipality;520440;67.12;71.99;73.46;23.32;22.70;15.40;0.442;0.562;0.693;0.599;0.617;0.701;0.702;0.783;0.808;0.206;0.367;0.588;6.87;8.47;9.75;331.63;372.39;628.14
"Caldas Novas (GO)";Municipality;520450;65.92;70.32;74.89;26.31;26.20;14.90;0.497;0.623;0.733;0.650;0.718;0.739;0.682;0.755;0.832;0.277;0.446;0.640;8.53;9.13;10.48;457.30;698.72;794.78
"Caldazinha (GO)";Municipality;520455;64.47;71.62;73.86;30.22;23.40;14.80;0.380;0.542;0.685;0.557;0.661;0.669;0.658;0.777;0.814;0.150;0.310;0.591;7.33;8.14;8.19;255.63;488.23;515.56
