Sigla;Código;Estado;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;
AC;12;Acre;3.7942172543;4.2036564626;4.3240464037;4.348243492;4.8792983325;4.8716109597;4.7159907549;4.9099793377;4.5422455836;4.8069323392;6.1885822334;5.5853917565;5.8410426548;5.7564170093;5.891098796;6.2416799159;6.2599468256;5.8705557057;6.1935246378;5.6453789499;5.1925445025;5.3703764048;5.6897300578;6.2911595806;6.5116671765;6.6530706796;6.4978370875;6.9716003272;6.6324167029;6.8812636418;
AL;27;Alagoas;2.0735927244;1.9994813999;2.0130683275;2.0631020045;2.0547443417;2.3995056435;2.6190627286;2.6451854707;2.7294894915;2.853450248;3.7412211939;3.8133070846;3.8945812605;3.9356749226;4.3061629683;4.1686480861;4.1615333202;3.9100092017;3.982389875;4.3060615794;4.1831447619;4.2268911388;4.6769350424;4.8159409157;4.9735922963;5.0355105894;5.2631058352;5.5395978135;5.6754126999;5.6543690982;
AM;13;Amazonas;4.8055357246;4.4526857796;4.7044899127;4.9543343052;5.0388620996;5.2241543874;5.3824029588;5.2767269389;5.4132475261;5.7987875748;6.2319233438;5.6761013191;6.0373270143;5.9338397955;6.1194706368;6.0569019112;6.2028720571;6.6552662588;6.8445074126;7.0715023679;6.674855596;6.8940114742;7.205733609;6.9619396823;7.1421838843;7.2191815827;7.2541735013;7.6701330254;7.8836857863;8.1650112688;
AP;16;Amapá;4.1677959582;4.6071323216;4.886424017;5.0571168567;5.1422748843;5.917878907;6.0529312649;6.0523425571;6.0763898887;5.9842969867;5.5194224643;5.2440227883;5.4937364683;5.4932895035;6.1163438116;6.0404434293;6.2945287826;7.2844195773;6.6763737576;6.6559141334;6.7060754856;7.2864646677;7.4444788225;7.4896951733;7.8329087864;7.7018857128;7.7687984439;8.1277526768;8.2124418379;8.7010425853;
BA;29;Bahia;2.5476163964;2.4946540576;2.6327310912;2.7648886512;2.8388903191;2.9957253559;3.1671771422;3.1718496024;3.3941867578;3.3895908471;3.2457657078;3.567434994;3.6269630366;3.8476315088;3.7764279208;3.9394463431;4.0196711092;4.3620995287;4.5609557703;4.6992141606;4.8846979821;5.0826128083;5.3079605994;5.3954923601;5.6981739873;5.8422629425;6.0804144094;6.3223192535;6.5476134154;6.6097537964;
CE;23;Ceará;2.2710722294;2.2015631231;2.3228580208;2.464871492;2.5287729397;2.7178174357;2.67998858;2.7949882746;2.8798960354;2.9650599077;3.4064447155;3.442767867;3.6292456207;3.7452453304;3.826987462;3.9858021121;3.9970049449;4.4037680103;4.6485795421;4.7405393057;4.9624267778;5.0695403423;5.3533838009;5.5484714731;5.7134677836;5.8895425069;6.0051914398;6.1248640277;6.3459512771;6.3864313295;
DF;53;Distrito Federal;6.1536896353;6.4660146904;6.5445842384;6.6893093454;6.6298782354;6.8019761519;7.17967067;7.3058611492;7.5783249917;7.4901226722;7.4187428815;7.5883694776;7.7034767025;7.798846604;8.0372136636;8.1338614416;8.1444184528;8.2335966862;8.5433666715;8.7078130078;8.7533325004;8.9609213899;9.2141292426;9.3925594119;9.383870617;9.6430140252;9.8674051279;9.9054265429;9.9846180062;10.0820256116;
ES;32;Espírito Santo;3.9384612288;3.7219739636;4.0384725098;4.0167692572;4.3681865973;4.4100719121;4.4863467921;4.4874050826;4.6055962964;4.8640362877;4.6854848776;4.9306469785;5.0408201953;5.230829245;5.2617081861;5.4570370282;5.6081908331;5.9769312897;6.0285053302;6.1654526715;6.5640561967;6.8335072367;6.7817690099;6.9713197075;6.9516497205;7.1625705877;7.548028058;7.7553900649;7.7549114411;7.8031500234;
GO;52;Goiás;3.3430614875;3.3422512659;3.5640141908;3.7112074301;3.8377548185;3.953529597;4.1964875185;4.346195001;4.4593220655;4.4149433265;4.7327477408;4.8508452659;4.8636731698;5.0709123196;5.2432929131;5.3157931041;5.3766962118;5.6441710436;5.7643743964;6.0177352818;6.2006758538;6.3084177411;6.5153236411;6.7297506505;6.8686470024;7.047195111;7.3675656809;7.6510572349;7.7074059914;7.6116654101;
MA;21;Maranhão;1.9588468973;1.8911987766;2.0355789907;2.1417055508;2.1426391394;2.235965069;2.1724544286;2.4084890975;2.5192378334;2.6313612555;2.8636142968;3.0520460103;3.2117201;3.3723531667;3.3598938931;3.5605357207;3.6155512165;4.138603023;4.1397847524;4.3133174671;4.5942622183;4.4976044318;4.812553044;5.228577401;5.3690886591;5.5723815022;5.4506635627;5.6736880285;5.812579188;6.0754520841;
MG;31;Minas Gerais;3.5802862774;3.5804781874;3.7621283713;3.8636311035;4.0296109359;4.176279477;4.1963973041;4.3210482177;4.5085112243;4.6384368533;4.6044798601;4.7419395807;4.9192717509;5.0924924031;5.107901568;5.1952921342;5.3420950899;5.6798928806;5.7922972297;5.9328949874;6.096839822;6.1910951685;6.4475364132;6.6307131549;6.7563190911;6.934889354;7.0001731064;7.3163241605;7.3801953581;7.4883201534;
MS;50;Mato Grosso do Sul;3.6414930856;3.5465713277;3.7660782449;3.9920762996;4.1564541401;4.3306490409;4.5616784836;4.4937987172;4.5522901718;4.6870385636;4.8451114772;4.9592134416;5.0648698485;5.2834530229;5.2643162598;5.5790695399;5.642688329;5.8716538027;6.1552466904;6.0840442338;6.1908385572;6.4363445724;6.5916506516;6.7411593563;6.9266351422;6.9380209398;7.5521174623;7.6774829094;7.6786043776;7.7700917629;
