Sigla;Código;Estado;1976;1977;1978;1979;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;
AC;12;Acre;534.2621581241;691.5888513871;608.6644728393;550.6664065409;470.7192857727;512.9636745788;539.7841985259;590.5197079295;762.359904651;899.4098238541;683.2634455279;664.4582864257;637.6712880297;529.8726772299;599.1626763175;549.6604339562;774.9716962757;845.0942982859;748.2854004054;771.3780580223;743.3249098637;733.0434757281;719.0614477413;595.433793055;495.2826393945;502.9072721925;608.9355240234;631.911632416;621.3646923925;787.7639641118;689.4665369135;723.1604681154;665.2871120257;791.6795897347;
AL;27;Alagoas;255.4074600371;271.8090195288;260.3649258075;287.5950162828;318.2156385635;315.6132578001;270.1498347403;270.2493335663;320.8656823159;427.4899423428;322.8574932414;292.9899212134;340.3096742493;302.0416745907;327.4976460407;305.1274713548;440.9179779439;407.3724753928;426.2829531263;406.5511920427;362.8247199243;350.3874741022;346.778028901;340.7553972261;324.8393526543;344.9115150017;455.8078822538;482.8545429844;467.7555624162;474.6432161779;474.751123175;530.1369168698;556.5796723079;592.9790602355;
AM;13;Amazonas;563.633695095;586.5858672459;617.9950898688;623.9026626083;629.7883927299;659.2537164381;510.2323286294;486.8825096504;616.3054020932;879.2092883803;706.3999302756;581.9999771317;808.486746425;886.2874612446;425.6805754765;428.4831059676;621.2371050999;597.5998218052;596.2195402343;493.0483993514;458.8864216586;522.6870123817;497.6342669205;471.8464796088;459.8385082077;499.1767906621;518.3313233101;527.5142458665;565.6171818713;597.0125891814;621.2996113682;651.9233763518;734.5941983966;833.6765776619;
AP;16;Amapá;421.8401211255;428.6160024365;481.1465310412;526.1828604591;355.0294439467;427.7118471835;490.1041319783;493.4659114223;626.7895975688;1036.7468865512;654.903197738;689.8243046285;602.2300761645;717.2718021699;393.8469866055;672.5540444193;636.5781548264;647.16383712;571.7803805589;536.791807817;513.1123401012;639.931816667;530.8883597747;551.1975652882;471.1891309386;585.9474889269;564.823331507;590.2973222501;574.6179963765;630.4540130321;640.3373610455;765.9695200828;797.2412188964;911.8298420469;
BA;29;Bahia;386.4505786544;346.9804106735;323.1399234874;353.4900929343;367.281161285;349.5456388234;321.2217059388;317.1514530467;374.8229638052;534.7628812597;405.7840887861;362.7759826132;425.2148443499;384.4813515296;323.7908573026;357.1437878176;390.525033437;399.7108859642;406.9789453149;401.7117198726;390.2217596286;396.9533379622;401.6729795452;387.3983908382;398.7239771271;428.9721448023;484.6065995265;498.4454506802;549.3822747919;580.7829435573;630.5614353329;665.7307242811;734.2957546753;804.6511795131;
CE;23;Ceará;239.1957279095;309.4451112977;232.344312628;270.5195417699;265.6457327426;276.6660664535;228.5439503484;259.2168801534;296.5552590889;470.1285414929;322.9809790928;304.1154334341;304.4951977932;289.9444079409;276.3020008571;306.4332125821;382.8690794023;372.5507786589;377.6676673608;398.7808152653;369.3358234542;404.0081012912;396.166416606;361.1890236277;388.0992612681;416.7439310337;443.902391045;462.001134558;519.1503550088;540.4300091295;579.1095789113;627.3948853303;612.4884932246;691.1135612452;
DF;53;Distrito Federal;1083.4853083761;1239.4718307478;1073.2771401742;1074.4640846996;996.7993615067;1080.1458496566;871.8476134919;880.6054903991;1055.5406790862;1499.3327564501;1134.1883516219;1137.6070073744;1310.0516678397;1317.1998317453;916.9413102483;1109.820618718;1341.2663136472;1287.3055925464;1442.9785450804;1482.2594544285;1359.4567934885;1303.9667912218;1395.5080428002;1281.6509988799;1306.2928953016;1423.6930377793;1574.5996854847;1744.2895747041;1792.8617474649;1843.3142661775;1946.6622634678;1937.4258354245;2034.2413363632;2279.6968909712;
ES;32;Espírito Santo;486.142948142;583.5249618318;525.0004119372;570.9298820111;543.0991686011;618.2043759369;489.7964681315;460.3422121288;589.9269970033;978.7415185098;617.5878632516;540.7080561363;609.2156561599;592.5087021908;455.3432951256;502.5135063703;670.9790758767;651.94208146;651.7590235209;667.1990508479;667.8392093807;667.2464391319;715.3913779454;645.7836266399;701.3080221789;740.7117538613;783.6442006572;818.6789377532;854.5459340431;886.457639213;972.1839511755;1072.6069462895;1018.1775198154;1170.1757499092;
GO;52;Goiás;617.9347648914;695.2125372618;578.6153863413;616.2158067039;453.1528654389;485.3322350756;414.1907828184;446.2385011197;537.4983989894;949.6523300317;610.4043489178;544.5342754142;721.1382025741;652.8363422913;547.4437776281;583.3085090085;574.7031967848;649.0544291093;623.0991067656;684.0501595453;622.2711957227;649.2838276311;666.3149832845;617.602991738;683.6477108704;727.1035604779;748.7465961074;824.5106510635;859.9023127999;875.4283038656;958.6739261651;1046.4651904414;1083.192600265;1132.9052628133;
MA;21;Maranhão;194.0432200082;211.8547995034;162.5687574445;189.9538243193;215.0309055137;221.984588246;201.3687260931;213.9386424199;212.1986482689;337.676699619;225.1014463347;239.8794707682;252.3482953974;239.0202990117;240.172421457;238.3489135612;280.6910630283;318.668215315;281.8775608799;313.3117027849;313.2323686432;326.5232381203;328.8232490469;319.9490449585;352.1264991646;314.277470603;422.7235811302;417.7349146784;430.1706292969;482.0917141701;458.1446372219;578.7516377777;570.9973314363;614.196097113;
MG;31;Minas Gerais;524.3331495963;600.5944307809;468.9038654596;529.8976451987;486.470263774;489.1639652413;431.9004033395;421.5775671168;517.1181002365;811.2189185442;560.2026989381;526.5365337725;602.2225740609;551.932459583;486.6738163577;509.4281211455;650.8009116465;627.4232708478;667.6253463398;628.0637177479;618.4043275777;634.9959970927;647.789964414;610.3557431901;643.7237957625;684.0433337022;764.7803540283;777.811199611;840.3691785039;881.4350982923;931.7671099196;1021.3005854857;1047.1545767923;1133.5826127677;
MS;50;Mato Grosso do Sul;;;;;521.7657818814;539.8745216043;458.9711474095;510.010126423;594.2715275015;934.8201356134;686.8142618733;630.8625862408;630.4953179695;613.6064336272;550.4827581146;550.2578729943;650.5434653123;683.019208424;681.9019565648;669.4357491297;643.062530296;693.5882917961;728.0976775176;664.6005982803;669.636955745;712.7249304778;807.3991391262;930.7749636082;887.9639160211;922.8697704375;1078.481347908;1151.6461944835;1195.7842651795;1325.224687458;
MT;51;Mato Grosso;724.9607892157;851.5071935443;644.424419838;693.2062361942;456.6602740763;457.7005723052;434.1289033368;462.6417116358;554.8449868881;1002.2605208371;730.5933925734;605.8174854397;617.2770776091;573.6656379512;423.2220113253;582.0810991658;605.716839307;637.870564202;750.0849049159;708.4637970926;634.3726242761;683.7942342632;713.0568450621;620.1910656879;695.390217661;681.7690563183;742.3407575604;728.6130904043;925.5345633286;860.0159044482;982.9083449432;1109.3800014975;1108.7257578564;1204.7561225615;
PA;15;Pará;488.7972994944;651.9897545022;429.5334286228;500.1613699383;472.0353895776;509.121978564;446.8822757844;461.5263656955;568.7009378713;765.539222953;558.811376592;465.5446450869;615.2056469942;543.1960935086;398.2740406326;473.8177339026;519.5469178073;483.2401959333;498.4657301799;507.6005958607;490.0759506598;493.3834050405;514.0607577472;430.5409814126;449.3925181106;445.1064982346;479.4954599429;526.270065304;542.7916547646;533.2940415428;599.4401933942;612.62767649;627.3494352486;676.4882756806;
