Sigla;Código;Estado;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;
AC;12;Acre;3.6550978697;4.0083995968;4.0707643536;4.2653289396;4.6370190194;4.8426625607;4.4846744742;5.0207301452;4.5852679851;4.9946881911;6.3517447516;5.4979916933;5.6660773792;5.9291997425;5.9767753063;6.4004057247;6.4838035144;5.9973757604;6.3421346932;5.8216955444;5.5238141401;5.6356946472;6.0862908974;6.730974115;6.7076117077;7.0467001091;6.8351663011;7.2465460906;7.0073768886;7.2413276437;
AL;27;Alagoas;2.0375922715;1.9930151915;1.9267932902;2.1145410236;2.1025570996;2.3288463461;2.5320059609;2.7248614862;2.8483974201;2.9005237969;3.8854706982;4.0954032835;4.1315348427;4.0383222807;4.4675035554;4.2787425221;4.4463659451;4.1777750249;4.2370497791;4.493263616;4.4651558737;4.4918577495;4.9221968244;5.0559138316;5.2420603799;5.3478393079;5.6005057625;5.8436496343;5.9271828572;5.9681341857;
AM;13;Amazonas;4.6845582476;4.293978287;4.5638808679;4.8721615155;4.9383707463;5.083716295;5.1598435284;5.1259718028;5.2828198589;5.7049407328;6.1602211289;5.5608326884;6.0473076213;6.1257154457;6.0337198888;6.1180130608;6.2045278264;6.6402358987;6.9706511078;7.0899147142;6.8940204195;6.9442940854;7.2950978681;7.1360484939;7.375542298;7.401415167;7.5079433066;7.8025824226;8.1754968118;8.4891084005;
AP;16;Amapá;3.932938856;4.3055855856;4.8147004324;4.6373644077;4.7398568019;5.638727783;5.6217256011;6.0952380952;5.7212482468;5.4306891776;5.6216427538;5.026121926;5.9179416324;5.6170136551;6.0157867302;6.0559569193;6.4275118409;7.1836482925;6.6484197935;6.5875468925;6.7946495675;7.602339046;7.7074036084;7.8092185822;7.8931757427;7.9327579528;8.0379128017;8.2292844402;8.4857160234;9.1187718954;
BA;29;Bahia;2.4846700901;2.4830282586;2.5818303385;2.7567955064;2.8095346942;3.013638634;3.1747598033;3.15162147;3.4312512532;3.4882190886;3.2649174371;3.636430882;3.7755472365;3.9262443291;3.885057736;4.0846317331;4.1822551323;4.574278578;4.788933713;4.8824674315;5.165466819;5.357441686;5.5814736082;5.6396531413;5.9756167169;6.1451951495;6.4430689798;6.6776504959;6.9342206445;6.9980734861;
CE;23;Ceará;2.3327348956;2.2959801634;2.4281924428;2.5925887917;2.6513550657;2.8703134168;2.77212249;3.0199124269;3.0236870407;3.154106146;3.6199959456;3.7283504116;3.9315320427;4.0318173629;4.1382139598;4.2757191041;4.315886263;4.764072164;4.9690441999;5.0247932072;5.2987362239;5.3997495782;5.735278873;5.8631969341;6.0645885923;6.2541237862;6.4157425619;6.5671959707;6.7486693736;6.7599114454;
DF;53;Distrito Federal;5.8490829666;6.1795147883;6.2575477053;6.4667639842;6.4187364151;6.5276514751;6.946304195;7.1056114273;7.488642541;7.3388182235;7.3181082248;7.4643385002;7.65447028;7.727129588;8.0533558544;8.0393078173;8.0576784524;8.161731587;8.4982157292;8.6754862811;8.7649860173;8.9694304914;9.216451032;9.3618907358;9.3448946984;9.6694061899;9.858803075;9.9585576621;9.963882512;10.1303678082;
ES;32;Espírito Santo;3.6984927513;3.7210504957;3.9808628383;3.8871008434;4.2585701534;4.3521685478;4.4305568872;4.4557308468;4.5089693813;4.8725183186;4.6608450187;4.8930589185;4.99713579;5.1685472298;5.3016659288;5.4665591652;5.6707209934;5.9978209895;6.046332016;6.1817571021;6.6361431302;6.9189891339;6.8599289132;7.0861118789;6.9911851046;7.2908350837;7.7416000446;7.9264514497;7.8677184678;7.9986820258;
GO;52;Goiás;3.2761036454;3.2757038795;3.5052827156;3.6632108962;3.8599775103;3.9746837631;4.2256796499;4.3597105926;4.5305690864;4.4690984258;4.8261832972;4.9533738004;5.0163346222;5.2304792196;5.4404063755;5.529663149;5.5679493036;5.8040368104;5.9868762603;6.2427472604;6.4139015902;6.511046431;6.7320134913;7.0285540201;7.1267745165;7.3374278591;7.601442813;7.9442659722;7.9552016148;7.9166913399;
