Sigla;Código;Município;Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (2000);Anos de estudo - média - pessoas 25 anos e mais (2000)
AL;2705804;Olho d'Água do Casado;0.1;;0.7;;1.5;1.381;;2.027
AL;2705903;Olho d'Água Grande;0.4;;0.6;;0.9;0.822;;1.901
AL;2706000;Olivença;0.6;;0.6;;1.2;1.242;;2.113
AL;2706109;Ouro Branco;0.3;;0.9;;1.9;1.872;;2.818
AL;2706208;Palestina;0.9;;0.9;;1.8;1.792;;3.19
AL;2706307;Palmeira dos Índios;1;;1.7;;2.7;3.002;;3.928
AL;2706406;Pão de Açúcar;0.9;;1.3;;2.4;2.341;;3.136
AL;2706422;Pariconha;;;;;;1.515;;2.002
AL;2706448;Paripueira;;;;;;1.927;;3.491
AL;2706505;Passo de Camaragibe;0.6;;0.8;;1.5;1.51;;2.614
AL;2706604;Paulo Jacinto;0.8;;1.1;;1.5;1.539;;2.77
AL;2706703;Penedo;1.6;;2.4;;3.7;3.703;;4.382
AL;2706802;Piaçabuçu;0.9;;1.4;;2;1.966;;3.281
AL;2706901;Pilar;1.1;;1.3;;2.3;2.34;;3.447
AL;2707008;Pindoba;0.3;;0.7;;1.3;1.335;;1.959
AL;2707107;Piranhas;0.6;;0.5;;3.7;2.74;;3.151
AL;2707206;Poço das Trincheiras;0.3;;0.6;;1.4;1.423;;2.137
AL;2707305;Porto Calvo;0.6;;1;;2.3;2.245;;2.946
AL;2707404;Porto de Pedras;0.6;;0.7;;1.4;1.35;;2.289
AL;2707503;Porto Real do Colégio;0.7;;0.9;;1.5;1.49;;2.699
AL;2707602;Quebrangulo;0.7;;0.7;;1.5;1.529;;2.431
AL;2707701;Rio Largo;1.6;;2.1;;3.3;3.283;;4.641
AL;2707800;Roteiro;0.2;;0.6;;1.2;1.202;;1.891
AL;2707909;Santa Luzia do Norte;1.5;;1.7;;3;2.965;;3.568
AL;2708006;Santana do Ipanema;0.9;;1.3;;2.5;2.457;;3.276
AL;2708105;Santana do Mundaú;0.3;;0.7;;1.4;1.329;;2.28
AL;2708204;São Brás;0.5;;0.5;;1.6;1.529;;2.88
AL;2708303;São José da Laje;0.7;;1.3;;1.8;1.818;;2.929
AL;2708402;São José da Tapera;0.3;;0.4;;0.9;0.919;;1.999
AL;2708501;São Luís do Quitunde;0.4;;0.8;;1.3;1.344;;2.566
AL;2708600;São Miguel dos Campos;0.7;;1.7;;2.5;2.513;;3.944
AL;2708709;São Miguel dos Milagres;0.9;;1.4;;1.8;1.864;;3.348
AL;2708808;São Sebastião;0.3;;0.4;;1.2;1.247;;1.962
AL;2708907;Satuba;1.5;;1.9;;3.1;3.102;;5.204
AL;2708956;Senador Rui Palmeira;;;;;1.3;1.271;;1.915
AL;2709004;Tanque d'Arca;0.2;;0.6;;1.5;1.492;;2.089
AL;2709103;Taquarana;0.5;;0.7;;1.3;1.291;;2.403
AL;2709152;Teotônio Vilela;;;;;1.4;1.389;;2.478
AL;2709202;Traipu;0.4;;0.6;;1.1;1.068;;2.053
AL;2709301;União dos Palmares;0.6;;1.1;;1.9;1.946;;2.935
AL;2709400;Viçosa;0.8;;1.3;;2.2;2.226;;2.998
AM;1300029;Alvarães;;;;;1.9;1.834;;2.923
AM;1300060;Amaturá;;;;;2.1;2.035;;3.321
AM;1300086;Anamã;;;;;1.8;1.866;;3.038
AM;1300102;Anori;0.7;;1.5;;2.3;2.297;;3.436
AM;1300144;Apuí;;;;;2.6;2.521;;3.387
AM;1300201;Atalaia do Norte;0.6;;0.5;;1.4;1.4;;2.351
AM;1300300;Autazes;1.2;;1.4;;2.5;2.529;;3.687
AM;1300409;Barcelos;1.8;;1.7;;2.3;2.226;;2.581
AM;1300508;Barreirinha;0.9;;1.7;;2.7;2.674;;3.848
AM;1300607;Benjamin Constant;1.3;;2;;2.4;2.33;;3.307
AM;1300631;Beruri;;;;;1.5;1.465;;2.246
AM;1300680;Boa Vista do Ramos;;;;;2.5;2.547;;4.161
AM;1300706;Boca do Acre;0.5;;0.9;;1.7;1.661;;3.068
AM;1300805;Borba;1.2;;1.1;;1.9;1.915;;3.212
AM;1300839;Caapiranga;;;;;1.5;1.472;;3.039
AM;1300904;Canutama;0.5;;0.8;;1;1.01;;2.455
AM;1301001;Carauari;0.2;;0.5;;1.5;1.543;;2.383
AM;1301100;Careiro;0.9;;1.3;;1.4;1.37;;2.828
AM;1301159;Careiro da Várzea;;;;;2;1.987;;3.008
AM;1301209;Coari;1.4;;1.5;;2.1;2.147;;3.185
AM;1301308;Codajás;0.7;;2;;2.1;2.058;;3.135
AM;1301407;Eirunepé;0.6;;1.1;;1.6;1.632;;2.569
AM;1301506;Envira;0.5;;0.6;;0.8;0.818;;1.771
AM;1301605;Fonte Boa;0.5;;1.1;;1.7;1.674;;1.963
AM;1301654;Guajará;;;;;1;1.072;;1.941
AM;1301704;Humaitá;1.1;;1.8;;1.9;1.871;;3.8
AM;1301803;Ipixuna;0.5;;0.4;;1.2;1.149;;1.851
AM;1301852;Iranduba;;;;;2.6;2.6;;3.822
AM;1301902;Itacoatiara;1.7;;2.7;;3.7;3.667;;4.888
AM;1301951;Itamarati;;;;;0.3;0.341;;1.51
AM;1302009;Itapiranga;1.8;;2.3;;4;3.81;;4.698
AM;1302108;Japurá;0.6;;1.5;;0.7;0.766;;2.095
AM;1302207;Juruá;0.2;;0.7;;1.2;1.184;;2.306
AM;1302306;Jutaí;0.5;;1;;0.9;0.927;;2.075
AM;1302405;Lábrea;0.6;;0.6;;1.2;1.245;;2.251
AM;1302504;Manacapuru;1.2;;1.4;;2.6;2.623;;3.742
AM;1302553;Manaquiri;;;;;1.6;1.662;;3.338
AM;1302603;Manaus;3.7;;4.9;;6.3;6.311;;7.224
AM;1302702;Manicoré;1.1;;1.5;;1.9;1.884;;3.012
AM;1302801;Maraã;0.6;;0.4;;1.3;1.251;;1.656
AM;1302900;Maués;1.2;;1.8;;3.1;3.106;;4.095
AM;1303007;Nhamundá;0.6;;1.5;;2.6;2.614;;3.895
AM;1303106;Nova Olinda do Norte;0.9;;1;;2.1;2.15;;2.818
AM;1303205;Novo Airão;0.5;;1.6;;2.5;2.436;;3.649
AM;1303304;Novo Aripuanã;0.8;;1.4;;1.4;1.411;;3.061
AM;1303403;Parintins;1.7;;2.4;;3.7;3.746;;4.817
AM;1303502;Pauini;0.4;;0.4;;0.6;0.549;;1.641
AM;1303536;Presidente Figueiredo;;;;;4.8;4.939;;5.235
AM;1303569;Rio Preto da Eva;;;;;3.3;3.236;;4.202
AM;1303601;Santa Isabel do Rio Negro;1.1;;1.5;;1.9;1.911;;2.871
AM;1303700;Santo Antônio do Içá;1;;1.3;;1.3;1.338;;2.339
AM;1303809;São Gabriel da Cachoeira;1.4;;1.9;;3;3.026;;3.898
AM;1303908;São Paulo de Olivença;0.5;;0.9;;1.9;1.938;;2.313
